Feature Combination,Num Features,Train Accuracy,Test Accuracy,Train Loss,Test Loss
MFCC,26,0.17146432399749756,0.1599999964237213,2.2649986743927,2.2722134590148926
Chroma,72,0.11138923466205597,0.11500000208616257,2.2714548110961914,2.2674520015716553
Mel Spectrogram,512,0.15894868969917297,0.14499999582767487,2.272005081176758,2.273754835128784
MFCC + Chroma,98,0.12265331298112869,0.11500000208616257,2.2923543453216553,2.2943942546844482
MFCC + Mel,538,0.11764705926179886,0.10999999940395355,2.2792296409606934,2.2845499515533447
Chroma + Mel,584,0.12015018612146378,0.13500000536441803,2.2887046337127686,2.2889013290405273
MFCC + Chroma + Mel,610,0.10387984663248062,0.10000000149011612,2.304624080657959,2.3069655895233154
